name,CBO,CF,DAC,DAM,DIT,ED,LCC,LCOM4,MIT,MPC,NOA,NOC,NOLM,NOM,NOP,NORM,NSM,PF,RFC,SIX,TLOC,defect,project,bug_id
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,9.0,1,Chartb,Chart_10_buggy
org.jfree.chart.plot.junit.CombinedRangeXYPlotTests,19.0,0.0064308681672025,0.0,0.0,1.0,2.0,0.0,9.0,0.0,110.0,0.0,0.0,0.0,9.0,0.1111111111111111,0.0,1.0,0.0,39.0,0.0,185.0,0,Chartb,Chart_10_buggy
org.jfree.chart.util.ShapeUtilities,15.0,0.0010752688172043,0.0,1.0,0.0,0.0,0.0083333333333333,15.0,0.0,143.0,1.0,0.0,6.0,21.0,2.142857142857143,0.0,21.0,0.0,48.0,0.0,332.0,1,Chartb,Chart_11_buggy
org.jfree.data.time.DateRange,3.0,0.0010752688172043,0.0,1.0,1.0,0.0,0.0,7.0,17.0,11.0,3.0,0.0,3.0,7.0,0.7142857142857143,0.1428571428571428,1.0,1.0,6.0,0.0204081632653061,42.0,0,Chartb,Chart_11_buggy
org.jfree.chart.plot.MultiplePiePlot,28.0,0.0172043010752688,3.0,1.0,1.0,-1.0,0.1481481481481481,17.0,62.0,104.0,8.0,0.0,1.0,21.0,0.7142857142857143,0.2857142857142857,1.0,1.0,76.0,0.0136054421768707,393.0,1,Chartb,Chart_12_buggy
org.jfree.data.time.DateRange,3.0,0.0010752688172043,0.0,1.0,1.0,0.0,0.0,7.0,17.0,11.0,3.0,0.0,3.0,7.0,0.7142857142857143,0.1428571428571428,1.0,1.0,6.0,0.0204081632653061,42.0,0,Chartb,Chart_12_buggy
org.jfree.chart.block.BorderArrangement,8.0,0.0043010752688172,1.0,1.0,0.0,-1.0,0.3,8.0,0.0,136.0,6.0,0.0,0.0,10.0,2.1,0.0,1.0,0.0,28.0,0.0,440.0,1,Chartb,Chart_13_buggy
org.jfree.chart.axis.junit.ValueAxisTests,11.0,0.0075268817204301,0.0,1.0,1.0,1.0,0.0666666666666666,5.0,0.0,132.0,1.0,0.0,0.0,5.0,0.2,0.0,2.0,0.0,38.0,0.0,136.0,0,Chartb,Chart_13_buggy
org.jfree.chart.plot.PiePlot,52.0,0.029157667386609,9.0,0.0,1.0,-2.0,0.0521607387634369,119.0,61.0,548.0,58.0,1.0,5.0,114.0,1.0526315789473684,0.0614035087719298,15.0,0.0654205607476635,191.0,0.0005386272699292089,1595.0,1,Chartb,Chart_15_buggy
org.jfree.data.general.DatasetGroup,2.0,0.0,0.0,1.0,0.0,-1.0,0.2,4.0,0.0,3.0,2.0,0.0,1.0,5.0,0.4,0.0,1.0,0.0,4.0,0.0,39.0,0,Chartb,Chart_15_buggy
org.jfree.data.category.DefaultIntervalCategoryDataset,11.0,0.0032397408207343,0.0,0.0,2.0,-2.0,0.0,24.0,17.0,79.0,0.0,0.0,6.0,30.0,1.5333333333333334,0.1,1.0,1.0,23.0,0.0066666666666666,387.0,1,Chartb,Chart_16_buggy
org.jfree.data.function.PowerFunction2D,1.0,0.0,0.0,1.0,0.0,0.0,0.5,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.5,0.0,0.0,0.0,3.0,0.0,14.0,0,Chartb,Chart_16_buggy
org.jfree.data.DefaultKeyedValues2D,10.0,0.0032502708559046,0.0,1.0,0.0,-2.0,0.4384057971014493,8.0,0.0,86.0,5.0,0.0,4.0,23.0,0.9565217391304348,0.0,1.0,0.0,34.0,0.0,295.0,1,Chartb,Chart_18_buggy
org.jfree.data.DefaultKeyedValues,13.0,0.0043336944745395,0.0,1.0,0.0,-2.0,0.6476190476190476,5.0,0.0,86.0,4.0,0.0,5.0,22.0,1.0454545454545454,0.0,1.0,0.0,29.0,0.0,244.0,1,Chartb,Chart_18_buggy
org.jfree.data.general.DatasetGroup,2.0,0.0,0.0,1.0,0.0,-1.0,0.2,4.0,0.0,3.0,2.0,0.0,1.0,5.0,0.4,0.0,1.0,0.0,4.0,0.0,39.0,0,Chartb,Chart_18_buggy
org.jfree.chart.axis.junit.CategoryLabelPositionsTests,11.0,0.0021668472372697,1.0,1.0,1.0,1.0,0.2857142857142857,4.0,0.0,94.0,2.0,0.0,0.0,5.0,0.2,0.0,3.0,0.0,18.0,0.0,92.0,0,Chartb,Chart_18_buggy
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,51.0,0.0321324245374878,5.0,1.0,1.0,-3.0,0.0751173708920187,39.0,158.0,401.0,15.0,11.0,9.0,66.0,2.712121212121212,0.0606060606060606,1.0,0.0058651026392961,157.0,0.0009182736455463728,1039.0,1,Chartb,Chart_1_buggy
org.jfree.data.statistics.HistogramDataset,15.0,0.0029211295034079,1.0,1.0,4.0,-2.0,0.1146245059288537,15.0,26.0,72.0,3.0,0.0,1.0,21.0,1.380952380952381,0.1428571428571428,1.0,1.0,31.0,0.0272108843537414,253.0,0,Chartb,Chart_1_buggy
org.jfree.chart.plot.ValueMarker,2.0,0.0021762785636561,0.0,1.0,1.0,0.0,0.3,3.0,34.0,3.0,1.0,0.0,2.0,6.0,2.0,0.1666666666666666,0.0,1.0,4.0,0.0277777777777777,45.0,1,Chartb,Chart_20_buggy
org.jfree.chart.block.EmptyBlock,1.0,0.001088139281828,0.0,1.0,1.0,0.0,0.0,4.0,36.0,3.0,1.0,0.0,1.0,4.0,1.75,0.25,1.0,1.0,3.0,0.0625,21.0,0,Chartb,Chart_20_buggy
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,6.0,0.0043525571273122,2.0,1.0,1.0,0.0,0.3529411764705882,15.0,12.0,65.0,8.0,2.0,11.0,38.0,1.4736842105263157,0.0263157894736842,0.0,0.0135135135135135,29.0,0.0006925207756232687,362.0,1,Chartb,Chart_21_buggy
org.jfree.chart.block.EmptyBlock,1.0,0.001088139281828,0.0,1.0,1.0,0.0,0.0,4.0,36.0,3.0,1.0,0.0,1.0,4.0,1.75,0.25,1.0,1.0,3.0,0.0625,21.0,0,Chartb,Chart_21_buggy
org.jfree.data.KeyedObjects2D,8.0,0.0021762785636561,0.0,1.0,0.0,-2.0,0.5194805194805194,7.0,0.0,78.0,4.0,0.0,3.0,21.0,1.0,0.0,1.0,0.0,30.0,0.0,251.0,1,Chartb,Chart_22_buggy
org.jfree.chart.block.EmptyBlock,1.0,0.001088139281828,0.0,1.0,1.0,0.0,0.0,4.0,36.0,3.0,1.0,0.0,1.0,4.0,1.75,0.25,1.0,1.0,3.0,0.0625,21.0,0,Chartb,Chart_22_buggy
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,20.0,0.0076169749727965,0.0,1.0,2.0,-1.0,0.0284900284900284,23.0,193.0,90.0,10.0,0.0,1.0,18.0,1.4444444444444444,0.1111111111111111,1.0,1.0,36.0,0.0123456790123456,284.0,1,Chartb,Chart_23_buggy
org.jfree.chart.block.EmptyBlock,1.0,0.001088139281828,0.0,1.0,1.0,0.0,0.0,4.0,36.0,3.0,1.0,0.0,1.0,4.0,1.75,0.25,1.0,1.0,3.0,0.0625,21.0,0,Chartb,Chart_23_buggy
org.jfree.chart.renderer.GrayPaintScale,4.0,0.0,0.0,1.0,0.0,-1.0,0.1071428571428571,6.0,0.0,5.0,2.0,0.0,1.0,7.0,0.5714285714285714,0.0,0.0,0.0,7.0,0.0,56.0,1,Chartb,Chart_24_buggy
org.jfree.chart.block.EmptyBlock,1.0,0.001088139281828,0.0,1.0,1.0,0.0,0.0,4.0,36.0,3.0,1.0,0.0,1.0,4.0,1.75,0.25,1.0,1.0,3.0,0.0625,21.0,0,Chartb,Chart_24_buggy
org.jfree.chart.renderer.category.StatisticalBarRenderer,18.0,0.0076252723311546,0.0,1.0,1.0,-1.0,0.0,14.0,0.0,123.0,3.0,0.0,0.0,11.0,3.0,0.0,1.0,0.0,47.0,0.0,350.0,1,Chartb,Chart_25_buggy
org.jfree.experimental.chart.swt.editor.SWTPlotAppearanceEditor.org.jfree.experimental.chart.swt.editor$22.org.jfree.experimental.chart.swt.editor$23.org.jfree.experimental.chart.swt.editor$24.org.jfree.experimental.chart.swt.editor$25,3.0,0.0021786492374727,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,47.0,0.0,173.0,0,Chartb,Chart_25_buggy
org.jfree.data.general.DatasetUtilities,33.0,0.0243427458617332,0.0,0.0,0.0,-1.0,0.0,26.0,0.0,428.0,0.0,0.0,26.0,52.0,1.9807692307692308,0.0,51.0,0.0,71.0,0.0,1812.0,1,Chartb,Chart_2_buggy
org.jfree.chart.renderer.xy.junit.XYAreaRendererTests,21.0,0.0068159688412852,0.0,0.0,1.0,3.0,0.0,9.0,0.0,139.0,0.0,0.0,0.0,9.0,0.1111111111111111,0.0,1.0,0.0,38.0,0.0,208.0,0,Chartb,Chart_2_buggy
org.jfree.data.xy.XYSeries,10.0,0.003125,0.0,0.0,1.0,0.0,0.1652421652421652,15.0,20.0,101.0,5.0,0.0,11.0,33.0,1.3333333333333333,0.1212121212121212,1.0,1.0,31.0,0.0036730945821854,351.0,1,Chartb,Chart_5_buggy
org.jfree.data.xy.junit.DataXYPackageTests,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,37.0,0.0,0.0,0.0,3.0,0.6666666666666666,0.0,2.0,0.0,4.0,0.0,51.0,0,Chartb,Chart_5_buggy
org.jfree.chart.util.ShapeList,4.0,0.0021367521367521,0.0,0.0,1.0,0.0,0.0,8.0,13.0,17.0,0.0,0.0,0.0,8.0,0.75,0.625,0.0,1.0,14.0,0.078125,66.0,1,Chartb,Chart_6_buggy
org.jfree.chart.plot.junit.CategoryMarkerTests,13.0,0.001068376068376,1.0,0.0,1.0,3.0,0.0833333333333333,7.0,0.0,117.0,1.0,0.0,0.0,8.0,0.25,0.0,1.0,0.0,27.0,0.0,143.0,0,Chartb,Chart_6_buggy
org.jfree.data.time.TimePeriodValues,7.0,0.0032154340836012,0.0,0.0,1.0,0.0,0.1238095238095238,24.0,20.0,60.0,12.0,0.0,3.0,27.0,0.8518518518518519,0.1481481481481481,3.0,1.0,31.0,0.0054869684499314,323.0,1,Chartb,Chart_7_buggy
org.jfree.chart.plot.junit.CombinedRangeXYPlotTests,19.0,0.0064308681672025,0.0,0.0,1.0,2.0,0.0,9.0,0.0,110.0,0.0,0.0,0.0,9.0,0.1111111111111111,0.0,1.0,0.0,39.0,0.0,185.0,0,Chartb,Chart_7_buggy
org.jfree.data.time.Week,9.0,0.0021436227224008,0.0,0.0,1.0,0.0,0.07,19.0,0.0,86.0,7.0,0.0,7.0,25.0,0.76,0.0,7.0,0.0,35.0,0.0,329.0,1,Chartb,Chart_8_buggy
org.jfree.chart.renderer.category.StatisticalBarRenderer,18.0,0.007502679528403,0.0,1.0,1.0,-1.0,0.0,14.0,0.0,125.0,3.0,0.0,0.0,11.0,3.0,0.0,1.0,0.0,47.0,0.0,364.0,0,Chartb,Chart_8_buggy
org.apache.commons.cli.Parser,17.0,0.2352941176470588,2.0,1.0,0.0,-2.0,0.4,4.0,0.0,77.0,3.0,3.0,3.0,11.0,2.1818181818181817,0.0,0.0,0.0,51.0,0.0,194.0,1,Clib,Cli_10_buggy
org.apache.commons.cli.BasicParser,1.0,0.0294117647058823,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,6.0,0,Clib,Cli_10_buggy
org.apache.commons.cli.HelpFormatter,16.0,0.088235294117647,0.0,0.0,0.0,-1.0,0.0171717171717171,37.0,0.0,148.0,16.0,0.0,9.0,38.0,2.4473684210526314,0.0,8.0,0.0,62.0,0.0,395.0,1,Clib,Cli_11_buggy
org.apache.commons.cli.CommandLine,11.0,0.088235294117647,0.0,1.0,0.0,0.0,0.5454545454545454,4.0,0.0,38.0,3.0,0.0,5.0,14.0,0.9285714285714286,0.0,1.0,0.0,28.0,0.0,112.0,0,Clib,Cli_11_buggy
org.apache.commons.cli.GnuParser,1.0,0.0303030303030303,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,11.0,0.0,55.0,1,Clib,Cli_12_buggy
org.apache.commons.cli.Util,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,26.0,0,Clib,Cli_12_buggy
org.apache.commons.cli2.WriteableCommandLine,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,7.0,3.4285714285714284,0.0,0.0,1.0,0.0,0.0,11.0,1,Clib,Cli_13_buggy
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,14.0,0.0133333333333333,0.0,1.0,1.0,-1.0,0.1452991452991453,7.0,14.0,52.0,9.0,0.0,0.0,18.0,2.2777777777777777,0.2222222222222222,0.0,1.0,33.0,0.0123456790123456,177.0,1,Clib,Cli_13_buggy
org.apache.commons.cli2.option.ArgumentImpl,13.0,0.08,1.0,0.0,1.0,-1.0,0.2612612612612612,17.0,12.0,60.0,15.0,1.0,1.0,23.0,1.9130434782608696,0.1304347826086956,4.0,0.15,44.0,0.0056710775047258,237.0,1,Clib,Cli_13_buggy
org.apache.commons.cli2.builder.SwitchBuilder,6.0,0.0133333333333333,2.0,1.0,0.0,-1.0,0.4789473684210526,7.0,0.0,14.0,10.0,0.0,1.0,11.0,1.6363636363636365,0.0,0.0,0.0,19.0,0.0,104.0,0,Clib,Cli_13_buggy
org.apache.commons.cli2.option.PropertyOptionTest,13.0,0.0933333333333333,0.0,0.0,2.0,1.0,0.0,17.0,10.0,104.0,0.0,0.0,0.0,17.0,0.0,0.5294117647058824,0.0,1.0,32.0,0.0622837370242214,168.0,0,Clib,Cli_13_buggy
org.apache.commons.cli2.resource.ResourceConstants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,91.0,0,Clib,Cli_13_buggy
org.apache.commons.cli2.option.GroupImpl,17.0,0.08,0.0,1.0,1.0,-1.0,0.7033333333333334,4.0,12.0,127.0,8.0,0.0,1.0,18.0,2.055555555555556,0.2222222222222222,0.0,1.0,49.0,0.0123456790123456,388.0,1,Clib,Cli_14_buggy
org.apache.commons.cli2.builder.SwitchBuilder,6.0,0.0133333333333333,2.0,1.0,0.0,-1.0,0.4789473684210526,7.0,0.0,14.0,10.0,0.0,1.0,11.0,1.6363636363636365,0.0,0.0,0.0,19.0,0.0,104.0,0,Clib,Cli_14_buggy
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,15.0,0.0266666666666666,0.0,1.0,1.0,-1.0,0.1481481481481481,7.0,14.0,64.0,9.0,0.0,3.0,22.0,2.272727272727273,0.1818181818181818,0.0,1.0,36.0,0.0082644628099173,210.0,1,Clib,Cli_15_buggy
org.apache.commons.cli2.builder.SwitchBuilder,6.0,0.0133333333333333,2.0,1.0,0.0,-1.0,0.4789473684210526,7.0,0.0,14.0,10.0,0.0,1.0,11.0,1.6363636363636365,0.0,0.0,0.0,19.0,0.0,104.0,0,Clib,Cli_15_buggy
org.apache.commons.cli2.option.GroupImpl,17.0,0.08,0.0,1.0,1.0,-1.0,0.7033333333333334,4.0,12.0,126.0,8.0,0.0,1.0,18.0,2.055555555555556,0.2222222222222222,0.0,1.0,49.0,0.0123456790123456,389.0,1,Clib,Cli_16_buggy
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,15.0,0.0266666666666666,0.0,1.0,1.0,-1.0,0.1481481481481481,7.0,14.0,72.0,9.0,0.0,3.0,22.0,2.272727272727273,0.1818181818181818,0.0,1.0,37.0,0.0082644628099173,224.0,1,Clib,Cli_16_buggy
org.apache.commons.cli2.Option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,1.0,14.0,2.142857142857143,0.0,0.0,0.0,0.0,0.0,21.0,1,Clib,Cli_16_buggy
org.apache.commons.cli2.option.OptionImpl,8.0,0.0,0.0,1.0,0.0,-1.0,0.1282051282051282,9.0,0.0,46.0,2.0,8.0,1.0,12.0,1.75,0.0,0.0,0.0,24.0,0.0,120.0,1,Clib,Cli_16_buggy
